title,fuel_type,mileage,power,origin,city,region,reg_month,reg_year,garanty,price_neg,price,link
Smart ForTwo Passion,Gasolina,14484.0,71.0,Nacional,Marvila,Lisboa,Janeiro,2018.0,1,Valor Fixo,11250.0,https://www.standvirtual.com/anuncio/smart-fortwo-passion-ID8ODQZt.html#b24d48df63
Ford Focus 1.6 X Road,Diesel,168000.0,90.0,,São Martinho Vale,Braga,Julho,2010.0,1,Negociável,8000.0,https://www.standvirtual.com/anuncio/ford-focus-1-6-x-road-ID8OjH0u.html#b24d48df63
Renault Kadjar 1.3 TCe Black Edition,Gasolina,10.0,140.0,Nacional,"Gondomar (São Cosme), Valbom e Jovim",Porto,Março,2020.0,1,Valor Fixo,26600.0,https://www.standvirtual.com/anuncio/renault-kadjar-1-3-tce-black-edition-ID8O2fx5.html#b24d48df63
Opel Agila 1.0 Essentia,Gasolina,95000.0,65.0,Nacional,Póvoa de Santa Iria e Forte da Casa,Lisboa,Julho,2008.0,1,Valor Fixo,3995.0,https://www.standvirtual.com/anuncio/opel-agila-1-0-essentia-ID8OIPtW.html#b24d48df63
BMW X3,Diesel,258200.0,184.0,Nacional,Mirandela,Bragança,Janeiro,2012.0,1,Negociável,20750.0,https://www.standvirtual.com/anuncio/bmw-x3-ID8Mgjma.html#b24d48df63
BMW X2 20d XDrive Pack M X Auto,Diesel,15000.0,190.0,,Urgezes,Braga,Março,2019.0,1,Valor Fixo,43900.0,https://www.standvirtual.com/anuncio/bmw-x2-20d-xdrive-pack-m-x-auto-ID8OIPub.html#b24d48df63
Opel Astra Sports Tourer,Diesel,221457.0,110.0,,Mirandela,Bragança,Fevereiro,2011.0,1,Valor Fixo,8999.0,https://www.standvirtual.com/anuncio/opel-astra-sports-tourer-ID8LILHv.html#b24d48df63
Mercedes-Benz GLC 250 (GLC 250 d AMG Line 4-Matic),Diesel,14566.0,204.0,,Santo Antão e São Julião do Tojal,Lisboa,Julho,2019.0,1,Valor Fixo,66990.0,https://www.standvirtual.com/anuncio/mercedes-benz-glc-250-glc-250-d-amg-line-4-matic-ID8OIPEn.html#b24d48df63
Peugeot 508 RXH 2.0 HDi Hybrid4 2-Tronic,Híbrido (Diesel),148000.0,200.0,,Venteira,Lisboa,Setembro,2013.0,1,Negociável,15900.0,https://www.standvirtual.com/anuncio/peugeot-508-rxh-2-0-hdi-hybrid4-2-tronic-ID8OIPy2.html#b24d48df63
MINI Clubman,Diesel,147300.0,150.0,,Mirandela,Bragança,Fevereiro,2016.0,1,Negociável,22700.0,https://www.standvirtual.com/anuncio/mini-clubman-ID8OjGgz.html#b24d48df63
VW Golf Variant VII 110cv 6 Vel.,Diesel,159000.0,110.0,Nacional,Ramalde,Porto,Julho,2015.0,1,Valor Fixo,12499.0,https://www.standvirtual.com/anuncio/vw-golf-variant-vii-110cv-6-vel-ID8ODgzT.html#b24d48df63
Audi TT,Gasolina,208000.0,180.0,,Mirandela,Bragança,Dezembro,2000.0,1,Negociável,7790.0,https://www.standvirtual.com/anuncio/audi-tt-ID8M791w.html#b24d48df63
Audi A8 3.0 TDi V6 quattro,Diesel,299000.0,250.0,,Braga,Braga,Março,2011.0,1,Valor Fixo,24750.0,https://www.standvirtual.com/anuncio/audi-a8-3-0-tdi-v6-quattro-ID8OshCl.html#b24d48df63
Smart ForTwo (Fortwo 0.9 Passion 90 Aut),Gasolina,1095.0,90.0,,Santo Antão e São Julião do Tojal,Lisboa,Fevereiro,2019.0,1,Valor Fixo,14990.0,https://www.standvirtual.com/anuncio/smart-fortwo-fortwo-0-9-passion-90-aut-ID8OIPD7.html#b24d48df63
BMW X5 25 d sDrive,Diesel,72020.0,231.0,Nacional,"Santa Iria de Azoia, São João da Talha e Bobadela",Lisboa,Novembro,2015.0,1,Valor Fixo,47900.0,https://www.standvirtual.com/anuncio/bmw-x5-25-d-sdrive-ID8MxXYi.html#3d18f60e24
VW Caddy 2.0 TDI 3 Lug C/IVA,Diesel,124000.0,75.0,Nacional,Ramalde,Porto,Dezembro,2015.0,1,Valor Fixo,12999.0,https://www.standvirtual.com/anuncio/vw-caddy-2-0-tdi-3-lug-c-iva-ID8ODQyq.html#3d18f60e24
BMW 123 d Pack M 204cv,Diesel,155000.0,204.0,Nacional,Abraveses,Viseu,Março,2008.0,1,Negociável,15900.0,https://www.standvirtual.com/anuncio/bmw-123-d-pack-m-204cv-ID8OIN5t.html#3d18f60e24
Mercedes-Benz C 250 d Station 7G-Tronic AMG,Diesel,23714.0,204.0,Nacional,"Santa Iria de Azoia, São João da Talha e Bobadela",Lisboa,Janeiro,2017.0,1,Valor Fixo,39900.0,https://www.standvirtual.com/anuncio/mercedes-benz-c-250-d-station-7g-tronic-amg-ID8MjW2I.html#3d18f60e24
Mercedes-Benz CLS 250,Diesel,156000.0,204.0,Nacional,Mirandela,Bragança,Novembro,2011.0,1,Valor Fixo,28999.0,https://www.standvirtual.com/anuncio/mercedes-benz-cls-250-ID8NpVvb.html#3d18f60e24
BMW X1,Diesel,84025.0,116.0,Nacional,"Santa Iria de Azoia, São João da Talha e Bobadela",Lisboa,Janeiro,2016.0,1,Valor Fixo,23900.0,https://www.standvirtual.com/anuncio/bmw-x1-ID8MtYGS.html#3d18f60e24
BMW 320 d Touring Pack M 177cv,Diesel,199000.0,177.0,Nacional,Abraveses,Viseu,Março,2009.0,1,Negociável,15900.0,https://www.standvirtual.com/anuncio/bmw-320-d-touring-pack-m-177cv-ID8OIq7G.html#3d18f60e24
